Inclination,Orientation,M1,M2,M3
33.0,331.0,-3.5378710561054603,3.5672723548084613,0.5909661039303202
33.0,331.0,-3.523426070220942,3.546180118782395,0.6073285658172077
33.0,331.0,-3.4784293000320017,3.502972992862333,0.6533479898740788
33.0,331.0,-3.4013467647367426,3.4302367365057784,0.7278738904995119
33.0,331.0,-3.307134777153648,3.3325732921184184,0.8236198588845021
33.0,331.0,-3.1822431735326395,3.2026962508912487,0.9526020779772326
33.0,331.0,-3.022453506668503,3.048786843767713,1.1081732976361554
33.0,331.0,-2.8399097912429148,2.865092642740702,1.2939128063990268
33.0,331.0,-2.626814291512903,2.651613647810217,1.5022785319898602
33.0,331.0,-2.423434003528231,2.4092446811106956,1.746564974691751
33.0,331.0,-2.2429355958385027,2.1239242519580945,2.0326523942453
33.0,331.0,-2.100275381262202,1.829399937994119,2.3264097178083274
33.0,331.0,-1.982925849917181,1.4884727047727988,2.6503353304753037
33.0,331.0,-1.9003465500817955,1.146139322483074,2.9218499324108436
33.0,331.0,-1.8432057652111804,0.7900001129762879,3.1799422023297956
33.0,331.0,-1.8104808414374054,0.41711494638214036,3.401602428203725
33.0,331.0,-1.8048562451637877,0.09612946358546416,3.5968014852449537
33.0,331.0,-1.8067737211661574,-0.20440294185260266,3.77129180146059
33.0,331.0,-1.8062623942321923,-0.4676084811112073,3.9097335688316774
33.0,331.0,-1.8056232355647357,-0.7282573856999858,4.034497340719194
33.0,331.0,-1.8069015528996488,-0.9377735968922408,4.118227126156002
33.0,331.0,-1.8053675720977531,-1.1155875381786513,4.174345257158686
33.0,331.0,-1.8069015528996488,-1.2795956522480003,4.206558853998496
33.0,331.0,-1.805751067298227,-1.4028254433336218,4.209754647335779
33.0,331.0,-1.8066458894326662,-1.5031733541242993,4.206814517465479
33.0,331.0,-1.8067737211661574,-1.5746312931459407,4.2074536761329355
33.0,331.0,-1.8054954038312443,-1.6183497459999685,4.208987656934831
33.0,331.0,-1.8067737211661574,-1.634712207886856,4.2079650030669
33.0,331.0,-1.8067737211661574,-1.6311329193490993,4.20694234919897
33.0,331.0,-1.8054954038312443,-1.6333060588184516,4.208987656934831
33.0,331.0,-1.8072850481001228,-1.6316442462830645,4.209115488668322
33.0,331.0,-1.8053675720977531,-1.632666900150995,4.206303190531513
33.0,331.0,-1.8062623942321923,-1.6325390684175036,4.208348498267374
33.0,331.0,-1.8065180576991748,-1.6312607510825905,4.20885982520134
33.0,331.0,-1.8056232355647357,-1.6331782270849602,4.207198012665953
33.0,331.0,-1.80702938463314,-1.6315164145495733,4.2075815078664265
33.0,331.0,-1.805751067298227,-1.632666900150995,4.209115488668322
33.0,331.0,-1.8058788990317183,-1.6321555732170299,4.206686685731987
