Real Incli,Real Orient,Time,Target Incli,Target Orient
0.16003057214022814,89.55575244010633,0.02725358199859329,25,250
1.165245783275957,134.21192955722094,0.05432379899866646,25,250
1.9400152575137286,154.08394656577303,0.08122383499903663,25,250
3.1787397523900665,168.5502455900604,0.10795480799970392,25,250
5.8857685371342,168.40763444384092,0.1344286369985639,25,250
9.521062716986226,172.97140083067092,0.16134249999959138,25,250
14.237597994719312,175.05570774307188,0.18800812299923564,25,250
21.00645300838614,175.55430925624933,0.21473639599935268,25,250
30.079482931338124,176.34996066970675,0.24153780699998606,25,250
41.82999085574578,176.56690178752308,0.2685400899990782,25,250
56.749513007941005,177.015696720737,0.2953361199997744,25,250
75.26776843102236,178.0227539009749,0.3218899089988554,25,250
82.92642566122046,179.13695042028814,0.3484505969991005,25,250
61.153409132428905,180.77443761227624,0.3750598030001129,25,250
40.68531077790253,183.14003868730973,0.4015239849995851,25,250
23.63504429318815,188.05177891909213,0.4283318189991405,25,250
10.923395831596846,199.79737935874803,0.45503302199904283,25,250
3.7491983910972224,253.32482530747552,0.4817819799991412,25,250
7.0620830700232995,325.5223858768545,0.5080600919991412,25,250
11.978428285133779,337.0172319255479,0.5345202699991205,25,250
15.63979656038273,340.2408407355034,0.5611766739984887,25,250
18.714104387355547,341.00897198919597,0.5883963389987912,25,250
20.635828055335512,340.68398091138704,0.6154250579984364,25,250
21.779881461419297,340.57187223165124,0.6423106040001585,25,250
22.81914010367867,340.0630883436231,0.6691074659993319,25,250
23.199158077850196,338.8030488499644,0.6959647079984279,25,250
23.304127371083904,337.901438147112,0.722327495999707,25,250
23.387344371156782,336.63837159460485,0.7489439919991128,25,250
23.144586625417364,334.63710985270063,0.7753398329987249,25,250
22.640975391345986,333.00277952206625,0.8018445589987095,25,250
22.37802598676552,332.0526996013785,0.8285554559988668,25,250
21.645101036952525,330.6934288994901,0.855049814999802,25,250
20.702543912559157,327.98049386823766,0.8820215790001384,25,250
19.873563234331964,325.3981362619692,0.9089101939989632,25,250
18.843336345327486,324.3722120526868,0.9354529349984659,25,250
18.033980313910273,324.56525196919335,0.9622521159999451,25,250
17.452560155220954,325.20259618464127,0.9891236879993812,25,250
16.308533676769844,323.1499350851151,1.0158464870000898,25,250
14.966928934483361,319.66331147542394,1.0422481629993854,25,250
13.7876556249073,318.08829352412147,1.0689566649998596,25,250
12.377914975780588,315.4161679215376,1.0953375339995546,25,250
10.949906567379426,310.6725467762261,1.1219560179997643,25,250
9.494530738504803,306.03964548987466,1.1483763599990198,25,250
7.884954305084322,300.0388964472803,1.1748599809998268,25,250
6.38002275291953,289.26713040301416,1.2017334590000246,25,250
5.1017333580829956,272.82760505775235,1.2287212969986285,25,250
4.836742419833086,251.97957433207725,1.2552247119983804,25,250
5.513364155599369,231.3025288840293,1.2814371389995358,25,250
6.81474887964055,215.17796768547598,1.308102268998482,25,250
8.512257631670913,207.84207648866996,1.3344195059999038,25,250
10.188926894595145,202.44448774622145,1.3609857249994093,25,250
11.595513951625174,198.9994082492199,1.387337933998424,25,250
13.023668815884765,197.2521738449202,1.4139980239997385,25,250
14.344604186307896,196.0296489177066,1.4405328269986057,25,250
15.470607281820675,195.60704652967794,1.4671363269990252,25,250
16.406560008731162,195.46022017156426,1.4932684279992827,25,250
17.349105025323166,195.8502686689613,1.5199601019994589,25,250
18.175790378331406,196.21592547376724,1.5461987179987773,25,250
18.784988084330763,196.77764460231336,1.5728408269987995,25,250
19.478442069785046,197.90531721239267,1.5991360640000494,25,250
20.03769114523171,198.89151569238496,1.6259670599993115,25,250
20.495873801601736,200.35115327559265,1.6528817089983932,25,250
21.006967153378433,202.17127625068852,1.6792127019998588,25,250
21.37826807022604,203.9753358622804,1.7058092129991564,25,250
21.717732907561217,206.1065235532715,1.7321414639991417,25,250
22.157075206772824,208.4661894077606,1.7584037029992032,25,250
22.45949242676243,211.0306458648517,1.7849685109995335,25,250
22.789296774622507,213.78579905217634,1.8118105569992622,25,250
23.138783015008894,216.86019989883437,1.8382237989990244,25,250
23.493212021917188,220.03770944100367,1.8646930049999355,25,250
23.89139206329725,223.44078735651738,1.8911012769985973,25,250
24.355324965651903,226.97448027044078,1.917512407999311,25,250
24.79545815977734,230.5757321066321,1.944003258999146,25,250
25.347822015681263,234.2948746680692,1.9709095969992632,25,250
26.07980210305499,237.80981379182506,1.9976889379995555,25,250
26.821332243617544,241.46849088726043,2.024496381998688,25,250
27.7635931589333,245.00024000076473,2.051163131998692,25,250
27.980456501250924,248.1592725593508,2.0782207470001595,25,250
27.15097218043823,251.2885537184696,2.104958446998353,25,250
26.847012250220057,255.26224627358397,2.1317049149984086,25,250
