I,O,I_error,O_error,M1_error,M2_error,M3_error
5,5,-2.2121133239224866,3.742139477716994,-0.26066578085954334,0.1384680184365882,0.14311489501348784
5,5,-2.1592702276394293,3.813175049825759,-0.25607535666912534,0.1394986964844043,0.13969152011650926
5,5,-2.206049315790965,4.029615536760351,-0.2611118449911435,0.14283675836292176,0.14209150494462902
5,5,-2.226665112507141,3.4683565419374376,-0.26353717341833766,0.13918109014136615,0.14268640112057607
5,5,-2.2414557628235308,4.11710737025784,-0.26610393808977373,0.1415982184957802,0.14114512410611543
5,5,-2.052642085067399,3.7504503956835995,-0.24264150939888307,0.13193117948571678,0.1314186490266963
5,5,-1.9973242310942956,2.747826954393688,-0.23602601926131572,0.1259097358404017,0.1323449106879995
5,5,-2.1328798638532893,3.393719114831164,-0.25196728782697886,0.13592485307622737,0.13833637129387288
5,5,-2.142227231576747,3.2133090845072414,-0.25367274861897066,0.13177270247412565,0.13773913687007355
5,5,-2.147060103460192,2.6931902110177486,-0.2535508318282179,0.129355954866397,0.14108992485258656
5,5,-2.1320801972383405,2.778373952604459,-0.2508388107786208,0.13243504034519352,0.14222615380808123
5,5,-2.109631951887808,2.901194107194661,-0.2494567695171691,0.1321786595055263,0.13992186021852687
5,5,-2.1005007767930532,3.3216768325168937,-0.24823695099464893,0.1310600139132051,0.1368167624869677
5,5,-2.13853477399676,3.3422716514497317,-0.25271266811540866,0.13257721823203597,0.1368438800542905
5,5,-2.0715030763425686,3.0200308397967657,-0.24534138230690006,0.1292473245398711,0.1333568173549697
5,5,-2.1052768029077162,2.606202897535258,-0.24780807730543053,0.13043185251337683,0.14075656325890562
5,5,-2.1920567683743153,3.498393053019491,-0.2587391887854057,0.13773454264624957,0.1437038251381388
5,5,-2.2615663515624886,3.6387945541064877,-0.2677761307134296,0.14018783783316702,0.1480682135391063
5,5,-2.1816962389353574,3.226504122074585,-0.2579290503226705,0.13472778949646522,0.1409724954397817
5,5,-2.210117610045069,3.179961904514882,-0.2602010299504531,0.13836778786249707,0.1435039327388676
5,5,-2.3119562310946273,3.1582678571658005,-0.27392535035412885,0.14279481223934276,0.15321873176823503
5,5,-2.3034975906991786,3.4952957759501615,-0.2719314404907434,0.141109278672694,0.1523440688434212
5,5,-2.3275961480231055,3.184892209306243,-0.2747604429117719,0.1409862347812318,0.15545223986535875
5,5,-2.329088609629938,3.406859135956373,-0.27575522117326995,0.1454137538727608,0.15151779506775226
5,5,-2.356570900936256,3.9420380709929512,-0.278919206762229,0.148450503861433,0.15118210919656455
5,5,-2.303234789449,4.075085713636659,-0.2730433320039833,0.14480984153576426,0.14783621118467954
5,5,-2.2367124057092216,3.9831106665599387,-0.2651702564430026,0.14129342882351273,0.14521440079011316
5,5,-2.3158095222970108,3.904181489317261,-0.27398144585816936,0.1454991821149944,0.1511067637028607
5,5,-2.3308098043487746,3.935455983427229,-0.27602226288924275,0.14839322835587512,0.14945561206641886
5,5,-2.3490754865008014,4.1601004240837085,-0.277593343491301,0.14963109939717384,0.14977825049085097
5,5,-2.3401825646079253,4.186528355297348,-0.27759807645132534,0.1465561754123177,0.15075561018381128
5,5,-2.282751864881572,4.021398923961143,-0.2697014378282615,0.14321079201010745,0.14826052247101357
5,5,-2.3289268385722757,3.6993991699634066,-0.27521430731136703,0.14706767965544743,0.15315686463402509
5,5,-2.3583533246298893,4.008601470976587,-0.279569456073516,0.15002824657815333,0.15116080523499326
5,5,-2.380168757530752,4.266762547759517,-0.2813298927245303,0.14902751341696305,0.15137601423636696
5,5,-2.3295506974659403,4.07968096497065,-0.2761297026381161,0.14577048344321297,0.15064370314843809
5,5,-2.286505844962462,4.003486412161714,-0.27127552607958055,0.14481962882304672,0.1485060379585115
5,5,-2.3077484631010767,3.903808036948182,-0.2722695412598941,0.1461519434795373,0.1504794444054849
5,5,-2.329561270054656,3.959474349154467,-0.27615265363276575,0.14743990852344474,0.1496364558683846
5,5,-2.301986032617494,4.0007242655915345,-0.27244713048065505,0.14589217459946818,0.14666087436363703
5,5,-2.2263912139771893,4.092150432255692,-0.26342280317940614,0.14129100091129307,0.14097161373264724
5,5,-2.222242877955326,4.020077266015743,-0.26376563680555476,0.14070864284201262,0.14340299761430714
5,5,-2.252999560239595,3.94876677506429,-0.26640727941193043,0.14351125691874145,0.14625936781777957
5,5,-2.2520270945233136,3.9313517096236863,-0.2657663798937006,0.14452322460775802,0.14575053808567418
5,5,-2.2755313406838438,3.8462292860807805,-0.2701056860471465,0.1450115790413018,0.1445155993079144
5,5,-2.228267302062889,4.080957827232958,-0.26324856711281647,0.1404201292951362,0.1400189905323983
5,5,-2.183167938265944,3.789982246054218,-0.2584690097183896,0.13714429485633495,0.14166259142047857
5,5,-2.1611019480995184,3.4735665660804687,-0.2558564610009121,0.13768945007407835,0.14142225627095756
5,5,-2.15844087210595,3.700152430145872,-0.25446900610391304,0.13882938939359413,0.13900445346599752
5,5,-2.1437141177265895,3.611271764930407,-0.2547090780984373,0.13573337482223682,0.1359755317309673
5,5,-2.1089220405322404,3.572852750750677,-0.24957661777316575,0.13249607129698845,0.13358342089465008
5,5,-2.0878346368234917,3.38672322732348,-0.24553242185505425,0.13211482943116695,0.13629221784021975
5,5,-2.1192885771353778,3.056180626121889,-0.25199872149524427,0.13351267242565093,0.140302224233647
5,5,-2.201933878784131,3.28071538586898,-0.2597095261815741,0.13802270242177825,0.14330233252352817
5,5,-2.205483815668334,3.1872333021093198,-0.2601748219103732,0.13512114726440444,0.14247469283676847
5,5,-2.085453251986796,3.215856412669181,-0.24765844927018088,0.12987710728635976,0.13488679599181513
5,5,-2.1161642144813957,3.2078058914726366,-0.24958957833010942,0.13409225802412075,0.13920923856779505
5,5,-2.158836034828415,3.355772832578233,-0.25510415178747164,0.13692762028743427,0.1416719097089292
5,5,-2.1398752451738297,3.189773566798796,-0.2542715417428915,0.13280837042459856,0.13779736106140728
5,5,-2.120252727293611,3.194566708120628,-0.24941827532251176,0.1306311439387545,0.13600806596459272
5,5,-2.002899520475358,2.897473392695683,-0.23706423657754944,0.12615916122467308,0.13100092688282938
5,5,-1.963005800954165,2.8399446257885286,-0.23220978835835188,0.1250584441319555,0.12938552610397572
5,5,-2.1032566734278735,2.7853895212633013,-0.2475896539183161,0.1294293366668567,0.1396090621886621
5,5,-2.0899389656520864,2.709620471280594,-0.2466033992915781,0.1266979009998048,0.13627548934509695
5,5,-1.9539579364181368,2.394545373974863,-0.2303865610503576,0.11993350580734263,0.12776321803194238
5,5,-1.9650446050646009,2.1942902005347165,-0.2316525576521889,0.1209549370664195,0.13294674044032379
5,5,-2.014934973264231,2.1668145702982837,-0.2378723859593444,0.12312430053657344,0.13684829096818485
5,5,-2.034131523623346,2.144768087168472,-0.23908723839963475,0.12100284421025545,0.13495351402375125
5,5,-2.011868040815342,1.9197440619329562,-0.2362986519087945,0.11859957278418881,0.13415258290578044
5,5,-1.907803157539985,2.099298063019308,-0.225112626097358,0.11666835227480993,0.1269465577043772
5,5,-1.8824610028084816,2.311521001257561,-0.22269688701891743,0.1175948812186707,0.12571537031774718
5,5,-1.9385420474676476,2.2697358269608134,-0.22847504382693135,0.11907558260812343,0.13017530169284755
5,5,-1.9409044635843191,2.257718306314771,-0.22887031471134162,0.11707485247175028,0.12696415400128097
5,5,-1.9043245427304312,2.388954896554201,-0.22417576688886426,0.11632231498627843,0.1236452956322791
5,5,-1.846412568239054,2.5072079980905886,-0.21748642190026685,0.11689807117418308,0.12144025870110994
5,5,-1.8455676091597724,2.448204446422157,-0.21835896100505608,0.11675001689663603,0.12194309361744746
5,5,-1.908690781036963,2.3928418739834285,-0.22481899543818368,0.1166871666092841,0.12689639911400907
