I,O,I_error,O_error,M1_error,M2_error,M3_error
5,5,-31.553769473440255,-175.26444841086823,2.835993583055738,-1.382820410545115,-2.31289817465626
5,5,-53.43108001233824,-175.7042924937252,4.62739954488684,-2.907205839016265,-4.502407751999646
5,5,-83.24525769392746,-175.6624150737965,6.1226844085461,-5.403758879692116,-7.865394678751055
5,5,-52.111906857334,-175.90037467742303,4.418942102091072,-2.707998702355236,-4.230046001841319
5,5,-21.862204892567835,-175.68665471974757,1.6426529235952758,-0.6224002329159793,-1.1770072546923007
5,5,-1.4471644934378016,-173.2933267533079,-0.7743517612342403,0.37764136229824696,0.5679852134693619
5,5,-0.44868620077257493,0.8257544981112499,0.0999030383867846,0.03228308520910181,-0.0009710201165730736
5,5,-7.125718053920956,1.5842675703855984,-0.7617679220540086,0.3670341343475185,0.504073848059964
5,5,-10.291145940294848,-0.41986111138243754,-1.2019632319781417,0.5297311996407039,0.7095255310382726
5,5,-11.793126693708889,-0.5422083208959325,-1.420221277112801,0.5980997846211982,0.8024922846071416
5,5,-12.401301192333115,-0.9696577562162085,-1.5068963975181022,0.6323858908270936,0.8327072533842874
5,5,-12.308738287717926,-1.0319702255328078,-1.4932367586992368,0.6324877909678479,0.8269797448001831
5,5,-12.098416035794134,-0.34053626100852163,-1.4665771307573086,0.6132532472342509,0.8247438349039466
5,5,-11.807082031358952,-0.5692834482033593,-1.4303149286560684,0.5993553537206744,0.8030480120723327
5,5,-11.63343309459528,-0.9629129316612666,-1.4074931727648723,0.5963376357936399,0.7859316535560268
5,5,-11.299615276555205,-1.166209057622785,-1.3673051221692973,0.5860641605604182,0.7630149581600307
5,5,-11.121478095740102,-0.8019823374484405,-1.3442580053605502,0.5732514452648658,0.7578787089270945
5,5,-11.006182021922168,-0.42094265013827137,-1.3286851180445578,0.5611073210271931,0.7549863570718018
5,5,-10.913654041824907,-0.33959086568081176,-1.3171582961262733,0.5554583446891043,0.7476268040604017
5,5,-10.765008825813288,-0.2323539048477521,-1.2996253104490059,0.5489629667814921,0.7385557175156264
5,5,-10.581829017012335,-0.04625017117270236,-1.2756789649036064,0.5392874311427482,0.7292213469990096
