I,O,I_error,O_error,M1_error,M2_error,M3_error
5,5,-1.5140155004369467,-4.49288065764423,-0.17459449491318557,0.05391993549828511,0.13911908077267224
5,5,-1.4850581931106062,-4.477473158851074,-0.17105207300659941,0.052216026509389946,0.1356297988965703
5,5,-1.4064878293326615,-4.412879493585825,-0.16307103662330308,0.046725517991293236,0.12863039530100337
5,5,-1.3050293699799447,-4.46329552209836,-0.15175133660169965,0.03904588369422082,0.1257598643357749
5,5,-1.2330535711579547,-4.537520467512778,-0.14084153029088853,0.03544747922898245,0.12112403612156308
5,5,-1.2740436580167147,-4.578738610224651,-0.14668819879424588,0.03811324857636969,0.12109624307817149
5,5,-1.2491266312156535,-4.436632516022248,-0.1450420514671127,0.03753105478175148,0.12083014869842834
5,5,-1.103437822561725,-4.183842584853494,-0.12766650813417946,0.029352432059055245,0.11028887838735316
5,5,-1.0436035821055354,-4.114137522454202,-0.11884966263296554,0.025636675962213612,0.10487649468450161
5,15,-0.9318605327713829,5.727252029993808,-0.13324988623149842,0.17301268394740282,-0.026752433300308576
5,15,-0.8373700125236372,5.917390530528277,-0.10967858862267815,0.14374660774772718,-0.005633599882388929
5,15,-0.8534186365997813,1.5038083072885957,-0.09969910737852311,0.06741432844739974,0.054360680910267134
5,15,-0.9689601050785166,-3.910287622146491,-0.10313276002091193,0.004252713191442742,0.11084681750481329
5,15,-0.9909036165159772,-6.870368953876479,-0.09982379754512932,-0.022615012754835573,0.13372363875978915
5,15,-0.9593731913421495,-7.161050332470765,-0.09581267406193095,-0.02361898580886415,0.12925975293445602
5,15,-0.8692566200360501,-6.473749291070263,-0.08681975136569525,-0.0224627487884288,0.11988389448321157
5,15,-0.823242996510789,-6.263787564863662,-0.08226751984866393,-0.024590399596503,0.11546410211988611
5,15,-0.8066977944535658,-5.950308324839927,-0.08013785559989833,-0.022273712391950806,0.1116176469004792
5,15,-0.6906812792110228,-5.9198690704652,-0.06597687325579638,-0.026014920575232137,0.09924065078974992
5,15,-0.5903770972273428,-5.173478977096732,-0.05589256666888054,-0.025215902902036375,0.08883609816152155
5,15,-0.5428659664159348,-5.0853749425610495,-0.05170207317844866,-0.02760893554098187,0.08486853219004492
5,15,-0.5103368704563973,-5.0948911484210555,-0.047679101030687954,-0.02775321971610381,0.08127785342037797
5,15,-0.49956247697574074,-4.842882183663249,-0.045063434176212946,-0.025863874344555532,0.07691163301282034
5,15,-0.42814487834372184,-4.228041542129024,-0.03919120597361503,-0.023593932959998454,0.06760420930341876
5,15,-0.3758682040666059,-3.9150135692344072,-0.034913282702695225,-0.024004258419087904,0.06264524851418368
5,15,-0.3784782911274984,-4.2897147850899415,-0.03286077750090133,-0.027342310134952558,0.06549389242194587
5,15,-0.3424573604036629,-4.206748642517027,-0.028490592561133288,-0.026865895822268088,0.059477022907890253
5,15,-0.2642167990072988,-3.6953981594341307,-0.02201980982183982,-0.02518453270833465,0.04928765003271918
5,15,-0.22534066045508983,-3.538024926158503,-0.018006687391768028,-0.02725383098341097,0.047536889222093204
5,15,-0.1982619579942817,-3.84102145993624,-0.01328286054056338,-0.0301525870603008,0.04731641806016795
5,15,-0.16246150961027528,-3.6832036252790807,-0.008472420711402195,-0.029651772206362476,0.039799153654434316
5,15,-0.13544933697973072,-3.330402365303023,-0.008529994379520622,-0.02800982311830799,0.0363645947453165
