I,O,M1,M2
5,101,-0.10610033879778624,0.1397840005727461
5,102,-0.1033519565277231,0.1402953275067113
5,103,-0.1005396583909143,0.14042315924020263
5,104,-0.09772736025410551,0.13825001977085039
5,105,-0.095234641451025,0.1383778515043417
5,106,-0.09235842744747055,0.13888917843830692
5,107,-0.08929046584367914,0.13729128176966557
5,108,-0.08609467250639642,0.13646037550197207
5,109,-0.08296279503585936,0.13690778656919164
5,110,-0.07995874929881361,0.13550163750078725
5,111,-0.07676295596153089,0.13454289949960244
5,112,-0.07343933089075685,0.1348624788333307
5,113,-0.0703074534202198,0.13390374083214587
5,114,-0.0673673235499197,0.13230584416350452
5,115,-0.0637241191454174,0.13268933936397845
5,116,-0.06027266234115206,0.1319223489630306
5,117,-0.057204700737360656,0.13006878882740663
5,118,-0.053817159799840975,0.12911005082622182
5,119,-0.05087702992954087,0.12859872389225657
15,5,-0.0424401355191145,0.12693691135686955
15,6,-0.039436089782068744,0.1260420892224304
15,7,-0.03694337097898822,0.12431636082029773
15,8,-0.03432282044241639,0.12329370695236726
15,9,-0.03157443817235325,0.12278238001840203
15,10,-0.029401298703001007,0.12163189441698025
15,11,-0.02697249576666614,0.11990616601484758
15,12,-0.024415861096839967,0.11837218521295188
15,13,-0.022690132694707297,0.11747736307851271
15,14,-0.021028320159320286,0.11524030774241481
15,15,-0.018919096556713692,0.11383415867401042
15,16,-0.017257284021326678,0.11281150480607995
15,17,-0.015915050819667934,0.11114969227069293
15,18,-0.014253238284280923,0.1099352908025255
15,19,-0.013038836816113489,0.10891263693459503
15,20,-0.01156877188096344,0.10776215133317325
15,21,-0.00997087521232208,0.10705907679897106
15,22,-0.009331716544865537,0.10622817053127755
15,23,-0.007989483343206795,0.10565292773056666
15,24,-0.006583334274802399,0.10520551666334708
15,25,-0.006199839074328473,0.10424677866216227
15,26,-0.004793690005924077,0.10347978826121441
15,27,-0.005113269339652349,0.10328804066097745
15,28,-0.004218447205213188,0.10271279786026656
15,29,-0.0034514568042653356,0.10271279786026656
15,30,-0.0039627837382305705,0.10245713439328394
15,31,-0.0034514568042653356,0.10239321852653828
15,32,-0.003707120271247953,0.10232930265979263
15,33,-0.00351537267101099,0.10226538679304698
15,34,-0.0038349520047392615,0.10303237719399483
15,35,-0.0038349520047392615,0.10316020892748613
15,36,-0.0038349520047392615,0.10379936759494268
