Inclination,Orientation,M1,M2,M3
24.6,107.9,0.0011504856014217784,0.0015339808018957047,-0.0030679616037914094
24.6,107.9,0.018663433089731073,-0.015211976285465738,-0.020197413891626777
24.6,107.9,0.06711166008293708,-0.06353237154518043,-0.06762298701690231
24.6,107.9,0.1657977583382274,-0.16336895540189256,-0.16618125353870133
24.6,107.9,0.27304858273743543,-0.2690857989992049,-0.2740712366053659
24.6,107.9,0.4017751383631833,-0.38170555620504787,-0.40190297009667464
24.6,107.9,0.5565793676211582,-0.46671365897676814,-0.5537670694843494
24.6,107.9,0.7336263185066207,-0.5290955449205268,-0.7310696838367946
24.6,107.9,0.9400745680950844,-0.5647605985646019,-0.9385405872931887
24.6,107.9,1.1740066403841793,-0.5752428007108893,-1.1702995201129314
24.6,107.9,1.4382348335107145,-0.5737088199089936,-1.4319710785696402
24.6,107.9,1.7217656183944372,-0.5739644833759762,-1.6760018578045486
24.6,107.9,2.0325245625118087,-0.5734531564420109,-1.8971507567445127
24.6,107.9,2.3103029193884224,-0.5739644833759762,-2.087747871380054
24.6,107.9,2.5673725354394445,-0.574731473776924,-2.2531621345178077
24.6,107.9,2.7914615642497087,-0.5731974929750283,-2.389558594153034
24.6,107.9,3.0030230831778244,-0.5735809881755022,-2.503712332160773
24.6,107.9,3.1706104857849304,-0.5746036420434327,-2.5914049013358103
24.6,107.9,3.3312949747835052,-0.5744758103099414,-2.656599085416378
24.6,107.9,3.4664131170838184,-0.5731974929750283,-2.6935424563953663
24.6,107.9,3.5645878884051436,-0.573069661241537,-2.701851519072301
24.6,107.9,3.640519938098981,-0.5752428007108893,-2.698911389202001
24.6,107.9,3.684749717886974,-0.5751149689773979,-2.700956696937862
24.6,107.9,3.7044358048446355,-0.572686166041063,-2.6987835574685097
24.6,107.9,3.7044358048446355,-0.5723026708405892,-2.700956696937862
24.6,107.9,3.704307973111144,-0.5765211180458023,-2.6995505478694577
24.6,107.9,3.7014956749743355,-0.5737088199089936,-2.7004453700038966
24.6,107.9,3.6959989104342093,-0.5723026708405892,-2.7004453700038966
24.6,107.9,3.704563636578127,-0.5760097911118371,-2.699678379602949
24.6,107.9,3.706481112580496,-0.5746036420434327,-2.7001897065369143
24.6,107.9,3.6940814344318396,-0.5728139977745543,-2.700573201737388
24.6,107.9,3.6957432469672264,-0.5737088199089936,-2.6999340430699315
24.6,107.9,3.7057141221795487,-0.5754984641778719,-2.6995505478694577
24.6,107.9,3.7053306269790744,-0.5739644833759762,-2.700956696937862
24.6,107.9,3.6944649296323133,-0.572686166041063,-2.6994227161359663
24.6,107.9,3.7004730211064047,-0.574731473776924,-2.7001897065369143
24.6,107.9,3.705074963512092,-0.5753706324443806,-2.700828865204371
24.6,107.9,3.704691468311618,-0.5728139977745543,-2.699678379602949
24.6,107.9,3.6945927613658047,-0.5728139977745543,-2.700828865204371
24.6,107.9,3.7007286845733876,-0.5752428007108893,-2.700061874803423
24.6,107.9,3.7052027952455835,-0.57434797857645,-2.6995505478694577
24.6,107.9,3.7040523096441613,-0.5728139977745543,-2.700828865204371
24.6,107.9,3.694848424832787,-0.5739644833759762,-2.699678379602949
24.6,107.9,3.7049471317786007,-0.5756262959113632,-2.7004453700038966
24.6,107.9,3.7049471317786007,-0.5725583343075717,-2.7007010334708794
24.6,107.9,3.703285319243214,-0.5724305025740805,-2.6991670526689835
24.6,107.9,3.696382405634683,-0.5757541276448545,-2.700828865204371
24.6,107.9,3.698811208571018,-0.5740923151094675,-2.700573201737388
24.6,107.9,3.7049471317786007,-0.572686166041063,-2.6994227161359663
24.6,107.9,3.704563636578127,-0.573069661241537,-2.7007010334708794
24.6,107.9,3.695615415233735,-0.5761376228453284,-2.700317538270405
24.6,107.9,3.697149396035631,-0.5734531564420109,-2.6999340430699315
24.6,107.9,3.705074963512092,-0.5725583343075717,-2.7007010334708794
24.6,107.9,3.7048193000451093,-0.574731473776924,-2.6994227161359663
24.6,107.9,3.695615415233735,-0.5749871372439066,-2.700828865204371
24.6,107.9,3.6972772277691224,-0.573069661241537,-2.700573201737388
24.6,107.9,3.705074963512092,-0.573069661241537,-2.698911389202001
24.6,107.9,3.7048193000451093,-0.5752428007108893,-2.7012123604048446
24.6,107.9,3.6954875835002436,-0.574731473776924,-2.699294884402475
24.6,107.9,3.6977885547030875,-0.5723026708405892,-2.7007010334708794
24.6,107.9,3.704563636578127,-0.574731473776924,-2.7007010334708794
24.6,107.9,3.7044358048446355,-0.5749871372439066,-2.6987835574685097
24.6,107.9,3.695871078700718,-0.5729418295080457,-2.7004453700038966
24.6,107.9,3.6967659008351568,-0.573069661241537,-2.6990392209354925
24.6,107.9,3.7044358048446355,-0.5754984641778719,-2.7012123604048446
24.6,107.9,3.704563636578127,-0.5729418295080457,-2.6999340430699315
24.6,107.9,3.702262665375283,-0.5725583343075717,-2.701084528671353
24.6,107.9,3.696382405634683,-0.5754984641778719,-2.6991670526689835
24.6,107.9,3.7003451893729133,-0.5740923151094675,-2.7007010334708794
24.6,107.9,3.7049471317786007,-0.573069661241537,-2.700573201737388
24.6,107.9,3.7041801413776527,-0.5733253247085196,-2.6991670526689835
24.6,107.9,3.6959989104342093,-0.5749871372439066,-2.701084528671353
24.6,107.9,3.6979163864365785,-0.5746036420434327,-2.69980621133644
24.6,107.9,3.7052027952455835,-0.5728139977745543,-2.699678379602949
24.6,107.9,3.7048193000451093,-0.573069661241537,-2.698911389202001
24.6,107.9,3.6959989104342093,-0.5749871372439066,-2.701084528671353
24.6,107.9,3.6972772277691224,-0.5733253247085196,-2.7001897065369143
24.6,107.9,3.7044358048446355,-0.5731974929750283,-2.699678379602949
24.6,107.9,3.704307973111144,-0.5744758103099414,-2.7012123604048446
24.6,107.9,3.6999616941724396,-0.5751149689773979,-2.6982722305345446
24.6,107.9,3.6962545739011916,-0.5733253247085196,-2.701340192138336
24.6,107.9,3.7044358048446355,-0.573069661241537,-2.699294884402475
24.6,107.9,3.705074963512092,-0.5752428007108893,-2.7004453700038966
24.6,107.9,3.702134833641792,-0.574731473776924,-2.7007010334708794
24.6,107.9,3.695871078700718,-0.5729418295080457,-2.699294884402475
24.6,107.9,3.7044358048446355,-0.5737088199089936,-2.700828865204371
24.6,107.9,3.7048193000451093,-0.5751149689773979,-2.69980621133644
24.6,107.9,3.7026461605757572,-0.5733253247085196,-2.6995505478694577
24.6,107.9,3.695871078700718,-0.5728139977745543,-2.701084528671353
24.6,107.9,3.7040523096441613,-0.5761376228453284,-2.699294884402475
24.6,107.9,3.704563636578127,-0.5733253247085196,-2.701084528671353
24.6,107.9,3.703285319243214,-0.5728139977745543,-2.699294884402475
24.6,107.9,3.6961267421677,-0.5738366516424849,-2.700828865204371
24.6,107.9,3.699578198971966,-0.5754984641778719,-2.700573201737388
24.6,107.9,3.704307973111144,-0.5731974929750283,-2.699294884402475
24.6,107.9,3.7041801413776527,-0.5729418295080457,-2.701340192138336
24.6,107.9,3.6961267421677,-0.5746036420434327,-2.698400062268036
24.6,107.9,3.696638069101666,-0.5748593055104153,-2.700956696937862
24.6,107.9,3.704563636578127,-0.5733253247085196,-2.700061874803423
24.6,107.9,3.704563636578127,-0.5731974929750283,-2.69980621133644
24.6,107.9,3.700856516306879,-0.57434797857645,-2.700828865204371
24.6,107.9,3.6961267421677,-0.5748593055104153,-2.6994227161359663
24.6,107.9,3.703285319243214,-0.5731974929750283,-2.700573201737388
24.6,107.9,3.704563636578127,-0.573069661241537,-2.6991670526689835
24.6,107.9,3.7036688144436876,-0.5744758103099414,-2.7012123604048446
24.6,107.9,3.6959989104342093,-0.5749871372439066,-2.6994227161359663
24.6,107.9,3.6986833768375265,-0.5733253247085196,-2.701084528671353
24.6,107.9,3.704563636578127,-0.5731974929750283,-2.700061874803423
24.6,107.9,3.704307973111144,-0.5739644833759762,-2.6994227161359663
24.6,107.9,3.6967659008351568,-0.5753706324443806,-2.7007010334708794
24.6,107.9,3.6970215643021396,-0.573069661241537,-2.7004453700038966
24.6,107.9,3.7040523096441613,-0.573069661241537,-2.6991670526689835
24.6,107.9,3.7044358048446355,-0.5748593055104153,-2.701084528671353
24.6,107.9,3.703029655776231,-0.5748593055104153,-2.6994227161359663
24.6,107.9,3.696382405634683,-0.5733253247085196,-2.7007010334708794
24.6,107.9,3.6991947037714916,-0.5733253247085196,-2.7007010334708794
24.6,107.9,3.705074963512092,-0.57434797857645,-2.698911389202001
24.6,107.9,3.704691468311618,-0.5749871372439066,-2.701340192138336
24.6,107.9,3.696382405634683,-0.5728139977745543,-2.6991670526689835
24.6,107.9,3.6975328912361047,-0.5742201468429587,-2.7007010334708794
24.6,107.9,3.7044358048446355,-0.5748593055104153,-2.700956696937862
24.6,107.9,3.7044358048446355,-0.5733253247085196,-2.6987835574685097
24.6,107.9,3.700089525905931,-0.5731974929750283,-2.7012123604048446
24.6,107.9,3.6967659008351568,-0.5748593055104153,-2.6991670526689835
24.6,107.9,3.7023904971087744,-0.574731473776924,-2.7014680238718274
24.6,107.9,3.704307973111144,-0.5731974929750283,-2.699678379602949
24.6,107.9,3.7039244779106704,-0.5731974929750283,-2.700317538270405
24.6,107.9,3.6962545739011916,-0.574731473776924,-2.7007010334708794
24.6,107.9,3.697660722969596,-0.5746036420434327,-2.6994227161359663
24.6,107.9,3.704307973111144,-0.5734531564420109,-2.700828865204371
24.6,107.9,3.7041801413776527,-0.5733253247085196,-2.700828865204371
24.6,107.9,3.6989390403045093,-0.5751149689773979,-2.699294884402475
24.6,107.9,3.6967659008351568,-0.5744758103099414,-2.700573201737388
24.6,107.9,3.7044358048446355,-0.573069661241537,-2.700061874803423
24.6,107.9,3.7048193000451093,-0.5735809881755022,-2.699294884402475
24.6,107.9,3.702518328842266,-0.5751149689773979,-2.700956696937862
24.6,107.9,3.6959989104342093,-0.573069661241537,-2.6994227161359663
