I,O,Inclination,Orientation,Error_I,Error_O
5,5,3.0521899484787443,16.72806297322057,1.9478100515212557,-11.72806297322057
5,5,4.227993480768771,30.85767428005104,0.7720065192312289,-25.85767428005104
5,5,6.051422773333906,42.33327991206584,-1.0514227733339059,-37.33327991206584
5,5,8.56720680528487,53.86838687086359,-3.5672068052848704,-48.86838687086359
5,5,13.76572346355514,60.09445199730333,-8.76572346355514,-55.09445199730333
5,5,21.94792836671373,60.95223796940439,-16.94792836671373,-55.95223796940439
5,5,34.851787034140166,60.44960462143143,-29.851787034140166,-55.44960462143143
5,5,51.63021536713968,58.57337393526162,-46.63021536713968,-53.57337393526162
5,5,63.39913220012141,54.99812774417174,-58.39913220012141,-49.99812774417174
5,5,55.92254226578441,48.35123840670845,-50.92254226578441,-43.35123840670845
5,5,36.74412799007774,40.75498880052382,-31.744127990077743,-35.75498880052382
5,5,19.973537953195795,31.57591114594745,-14.973537953195795,-26.57591114594745
5,5,9.833826585756333,11.099306471332708,-4.8338265857563325,-6.099306471332708
5,5,6.294543031712876,332.7496434992743,-1.2945430317128759,-327.7496434992743
5,5,6.183699135845726,295.6362287621204,-1.1836991358457256,-290.6362287621204
5,5,7.432404734294377,278.1783685228757,-2.4324047342943773,-273.1783685228757
5,5,8.142812931221444,271.6438056726198,-3.142812931221444,-266.6438056726198
5,5,8.50392725255843,267.4298542773091,-3.50392725255843,-262.4298542773091
5,5,9.069561769293196,266.9421835837487,-4.0695617692931965,-261.9421835837487
5,5,9.206804962637271,266.51646147369985,-4.206804962637271,-261.51646147369985
5,5,9.122521891531571,264.0048420919493,-4.122521891531571,-259.0048420919493
5,5,9.239830044840668,264.4611268192492,-4.239830044840668,-259.4611268192492
5,5,9.001202893290966,265.53013454784644,-4.001202893290966,-260.53013454784644
5,5,8.938703339779796,265.0685104989222,-3.9387033397797957,-260.0685104989222
5,5,9.114669682287872,264.75109611802674,-4.114669682287872,-259.75109611802674
5,5,9.02321164245831,265.596342766999,-4.02321164245831,-260.596342766999
5,5,8.882531239436087,265.05284824430265,-3.882531239436087,-260.05284824430265
5,5,9.038122054212945,265.3034336519179,-4.038122054212945,-260.3034336519179
5,5,9.027703481984378,265.8043690045958,-4.027703481984378,-260.8043690045958
5,5,8.935835781367201,265.819748338518,-3.935835781367201,-260.819748338518
5,5,8.878495797977067,265.12624095682924,-3.8784957979770667,-260.12624095682924
5,5,8.875664176960973,265.2072885786826,-3.8756641769609725,-260.2072885786826
5,5,8.876072258621141,265.7940576303659,-3.876072258621141,-260.7940576303659
5,5,8.893367316101102,265.41986568260745,-3.893367316101102,-260.41986568260745
5,5,8.994126807499928,265.0136213527944,-3.994126807499928,-260.0136213527944
5,5,8.967666462642853,265.0973551900005,-3.9676664626428533,-260.0973551900005
5,5,9.025156679632213,264.7595991768379,-4.025156679632213,-259.7595991768379
5,5,9.21120350793529,264.7317566219702,-4.21120350793529,-259.7317566219702
5,5,9.302917472019953,264.12636358711006,-4.302917472019953,-259.12636358711006
5,5,9.386401843793797,263.86234177511164,-4.386401843793797,-258.86234177511164
5,5,9.50128653738692,263.6435550667342,-4.501286537386919,-258.6435550667342
5,5,9.589458787275078,263.2339156506747,-4.589458787275078,-258.2339156506747
5,5,9.846928624517764,262.69776797277507,-4.846928624517764,-257.69776797277507
5,5,10.054691656104085,262.3886069890162,-5.054691656104085,-257.3886069890162
5,5,10.21061279695165,261.8670613205802,-5.210612796951651,-256.8670613205802
5,5,10.453900245039174,260.8301035944696,-5.453900245039174,-255.83010359446962
5,5,10.767199860163188,260.24952993671,-5.767199860163188,-255.24952993671002
5,5,11.05265254485176,259.87321973266006,-6.05265254485176,-254.87321973266006
5,5,11.363886461405656,259.04608428259,-6.363886461405656,-254.04608428259002
5,5,11.696250088353038,258.50978022991114,-6.696250088353038,-253.50978022991114
5,5,11.933031809235294,257.9254098114466,-6.933031809235294,-252.92540981144663
5,5,12.155352449048154,257.282836674599,-7.155352449048154,-252.28283667459903
5,5,12.29727865875431,257.2006202777083,-7.29727865875431,-252.2006202777083
5,5,12.318156390929024,257.1786491689648,-7.318156390929024,-252.1786491689648
5,5,12.322098419326142,257.11447992020106,-7.322098419326142,-252.11447992020106
5,5,12.313151050714913,257.0582525939694,-7.313151050714913,-252.05825259396943
5,5,12.248667372173433,257.0892643185622,-7.248667372173433,-252.0892643185622
5,5,12.137659713708045,257.25320922738393,-7.137659713708045,-252.25320922738393
5,5,11.99435344313139,257.65866938076414,-6.99435344313139,-252.65866938076414
5,5,11.810013273076322,257.75226444684785,-6.810013273076322,-252.75226444684785
5,5,11.691186075090872,258.1359070355539,-6.691186075090872,-253.13590703555388
5,5,11.49253780302507,258.4921439055513,-6.492537803025071,-253.4921439055513
5,5,11.255371028406849,258.7991798768848,-6.255371028406849,-253.7991798768848
5,5,11.056962834288052,259.3452104924638,-6.056962834288052,-254.34521049246382
5,5,10.801513175785498,259.97334703022347,-5.801513175785498,-254.97334703022347
5,5,10.61438314409038,260.4703953154189,-5.614383144090381,-255.4703953154189
5,5,10.376784156789334,261.05469893381644,-5.376784156789334,-256.05469893381644
5,5,10.119720433610723,261.7940082031091,-5.119720433610723,-256.7940082031091
5,5,9.864216240154787,262.35418660716914,-4.8642162401547875,-257.35418660716914
5,5,9.62398243627752,263.0254867359151,-4.623982436277521,-258.0254867359151
5,5,9.366873696091114,263.3501972724128,-4.366873696091114,-258.3501972724128
5,5,9.114333092808792,264.2700349639143,-4.114333092808792,-259.2700349639143
5,5,8.875532571715148,265.1511764978545,-3.875532571715148,-260.1511764978545
5,5,8.637470977999408,266.2262059966028,-3.637470977999408,-261.2262059966028
5,5,8.397447765772853,266.80444577089355,-3.397447765772853,-261.80444577089355
5,5,8.169441463204366,267.6433201136106,-3.1694414632043664,-262.6433201136106
5,5,7.93010117858884,268.84954673951614,-2.9301011785888402,-263.84954673951614
5,5,7.689032948219602,269.69388047252863,-2.6890329482196016,-264.69388047252863
5,5,7.521970146810698,270.7294852932503,-2.5219701468106983,-265.7294852932503
5,5,7.238576600005164,272.0511972520783,-2.238576600005164,-267.0511972520783
5,5,6.995127448279312,273.12421112761774,-1.9951274482793124,-268.12421112761774
5,5,6.843516928618546,274.481829959796,-1.8435169286185458,-269.481829959796
5,5,6.671519628167844,275.88014404327816,-1.671519628167844,-270.88014404327816
5,5,6.464939725137013,276.66275203563123,-1.4649397251370129,-271.66275203563123
5,5,6.261224959405098,278.1063203697334,-1.261224959405098,-273.1063203697334
5,5,6.104110443856272,279.6041645391647,-1.104110443856272,-274.6041645391647
5,5,5.986275622583205,281.13361116916093,-0.9862756225832046,-276.13361116916093
5,5,5.844858929004998,282.43210080744,-0.8448589290049977,-277.43210080744
5,5,5.698106506813661,284.29690431626926,-0.6981065068136614,-279.29690431626926
5,5,5.467592411385703,285.9624038590772,-0.46759241138570307,-280.9624038590772
5,5,5.373537632619585,287.2066356040336,-0.37353763261958495,-282.2066356040336
5,5,5.302527865636093,288.8596973499221,-0.302527865636093,-283.8596973499221
5,5,5.127893004286058,290.85529868141737,-0.127893004286058,-285.85529868141737
5,5,4.991374813769634,292.2406153414142,0.008625186230365678,-287.2406153414142
5,5,4.906856044334246,293.7419626151287,0.09314395566575406,-288.7419626151287
5,5,4.842608706684012,295.8070981778085,0.157391293315988,-290.8070981778085
5,5,4.7247291869614685,297.37560269322785,0.2752708130385315,-292.37560269322785
5,5,4.636590187275479,298.91020786273884,0.36340981272452133,-293.91020786273884
5,5,4.549002022063687,301.3069893257808,0.45099797793631335,-296.3069893257808
5,5,4.481654317262263,303.186448110777,0.5183456827377366,-298.186448110777
5,15,4.4607887962428086,305.1490788082366,0.5392112037571914,-290.1490788082366
5,15,4.437778190525749,306.8382267726568,0.5622218094742513,-291.8382267726568
5,15,3.936710485479765,310.2953762077328,1.063289514520235,-295.2953762077328
5,15,3.5018015333079897,320.65922464099737,1.4981984666920103,-305.65922464099737
5,15,3.3923265794256667,325.1784214715424,1.6076734205743333,-310.1784214715424
5,15,3.431715062885079,327.77717554559115,1.568284937114921,-312.77717554559115
5,15,3.4163395545465245,328.233673789636,1.5836604454534755,-313.233673789636
5,15,3.4076081501448323,329.3431640382819,1.5923918498551677,-314.3431640382819
5,15,3.4352576667297496,330.7795175145568,1.5647423332702504,-315.7795175145568
5,15,3.48097315225862,333.55261819040794,1.51902684774138,-318.55261819040794
5,15,3.4788622762922734,334.8139901329563,1.5211377237077266,-319.8139901329563
5,15,3.575904531781392,336.1332931411354,1.4240954682186082,-321.1332931411354
5,15,3.612854191572156,337.46462786859445,1.387145808427844,-322.46462786859445
5,15,3.6019513932885814,338.6919883828539,1.3980486067114186,-323.6919883828539
