Real Incli,Real Orient,Time,Target Incli,Target Orient,PINN Corrected Incli,PINN Corrected Orient,d_alpha_deg,d_beta_deg,theta1_cmd,theta2_cmd,theta3_cmd,encoding_type
13.287360895604708,11.019891257616468,0.025690068000017163,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
20.727220122513042,12.575694271168244,0.055558184000005895,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
30.314602908134347,12.837419159965934,0.08324603500000194,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
43.683178366077314,11.797787117095819,0.11078218199997991,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
60.65275294667835,10.116322773605628,0.13813841399996818,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
78.12183419273053,7.746050768076639,0.1654050820000066,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
71.2089403075631,7.645021423405655,0.19267137600002116,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
50.86359808776521,6.7869602676307155,0.21995676300002742,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
33.59541280194097,4.418953490688021,0.24754517400003806,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
20.648614405071203,358.5451605588861,0.27499056999999993,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
10.890750261658177,344.60504332906123,0.3025260800000069,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
6.509016174821868,319.30203142263275,0.32998391499995705,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
6.221354827019918,285.4316773913811,0.357625252000048,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
7.786996183633494,260.2416972736786,0.3850533510000105,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
8.465611341483635,258.22839810163816,0.41270886100005555,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
9.110931184533476,259.5773380072413,0.43998968899995816,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
10.351739353537493,265.53762059614104,0.46739751600000545,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
11.275112771967345,271.88317421454315,0.49531680899997355,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
12.274531991335994,278.07557451586655,0.5225677429999678,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
12.575150928996457,282.44073972958165,0.5504648569999517,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
13.035795778492925,284.57003582102345,0.5779253939999762,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
13.955813378178043,286.7952975363203,0.6051290489999701,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
14.903443388338484,289.8507638380718,0.632488712000054,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
15.919141634907023,292.03586981118343,0.6598235430000159,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.271266310041895,294.5191698083207,0.6873638939999864,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.848117281149793,296.07136266197665,0.7153093750000608,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.243825381979452,295.97382119052327,0.7428705580000496,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.518085537641515,296.8591243646646,0.7702963630000568,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.884305183668964,299.88283122338163,0.7979573300000311,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
18.39951151894279,300.5169359486026,0.825657361000026,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
18.67232026255847,300.55840006603745,0.8536070820000532,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
18.38770361787413,299.86744302502734,0.8807830419999618,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
18.94892209647123,299.8233072583967,0.9084198130000232,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
18.68877439631368,300.39906738982097,0.9363063639999609,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
18.233914225791253,299.8409162627731,0.9639137809999738,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.937805750302626,300.0015073151075,0.9912077110000155,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.773434401178715,300.5066336079938,1.0184314159999985,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.677766240467445,300.5293879181948,1.0460024679999833,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.479501898720244,300.29925204376343,1.0732508570000618,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.312172555425242,299.8118285049103,1.100816868000038,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.165472874067042,300.19566025025733,1.1281960700000582,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.09486593853094,300.2356344047662,1.1553209490000427,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.085901968650127,300.0821474778397,1.1828020719999586,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.051161547538765,299.9647614058557,1.2101831810000476,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.031973132154192,299.92341731003825,1.2372957420000148,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
17.0051605358437,299.821215740001,1.2647892879999745,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.977939864100488,299.8256545513447,1.2921879699999863,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.96056826852737,299.8439172573089,1.3195243159999563,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.83548507634664,299.5369487685674,1.346988169000042,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.807534151819834,299.3827074364629,1.3745971849999705,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.80737573512376,299.3030329780065,1.4022328700000344,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.827992593871382,298.93826741090425,1.429826505000051,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.854889780877787,298.823451393421,1.457495076999976,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.8409114768553,298.7598571432978,1.4851001220000626,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.82287280735796,298.62628463707387,1.512603420000005,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.83458181793035,298.37927500440713,1.5405662959999518,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.747897929840097,298.1449600460917,1.5680271070000344,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
16.64114317971941,297.6298334809351,1.5956636920000165,10,50,24.869618645439576,-42.701946539947855,14.869618936346654,-2.7019455691420586,-1.9428535293661244,3.0948305598623373,-0.4073582009920337,fourier
